-1 |time hours_from_midnight:12 |meta link hashtags:1 |tokens thank #imwithy
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens hillari clinton bill crimin wrong stupid recommend fbi imposs charg
-1 |time hours_from_midnight:9 |meta link hashtags:1 |tokens @ thank #imwithy
-1 |time hours_from_midnight:9 |meta link hashtags:2 |tokens #leadright2016 support #americafirst thank
-1 |time hours_from_midnight:9 |meta link hashtags:1 |tokens #americafirst thank
-1 |time hours_from_midnight:9 |meta link hashtags:1 |tokens #americafirst potu becom ignor next
-1 |time hours_from_midnight:9 |meta link hashtags:2 |tokens hillari make #americafirst #imwithy histori crook
-1 |time hours_from_midnight:11 |meta link hashtags:1 |tokens right shall peopl clear upon bear keep #2a infring constitut arm
-1 |time hours_from_midnight:11 |meta link hashtags:2 |tokens #americafirst #imwithy
1 |time hours_from_midnight:11 |meta double_quote hashtags:0 |tokens awar total @ read peopl lie held cleveland" sick fail "the event
-1 |time hours_from_midnight:1 |meta link single_quote hashtags:2 |tokens see fix safe #americafirst say #imwithy cant america make
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens return colorado crowd amaz
-1 |time hours_from_midnight:7 |meta link hashtags:2 |tokens great thank support safe #americafirst #imwithy america make
-1 |time hours_from_midnight:8 |meta link single_quote hashtags:1 |tokens wont never elect potu killer #americafirst crime im happen
-1 |time hours_from_midnight:11 |meta link hashtags:0 |tokens 13 terrorist old tough palestinian home get israel american kill year horribl girl must
-1 |time hours_from_midnight:11 |meta hashtags:0 |tokens @ great good work fox keep job morn
-1 |time hours_from_midnight:12 |meta hashtags:0 |tokens clinton look w/ bill system realli take meet coincid rig happen total anybodi believ
-1 |time hours_from_midnight:12 |meta single_quote hashtags:0 |tokens nobodi clinton caught bill secret know report meet total local
-1 |time hours_from_midnight:12 |meta single_quote hashtags:0 |tokens sander hillari said clinton bill initi judgement berni bad demand meet probabl
-1 |time hours_from_midnight:5 |meta hashtags:0 |tokens great campaign success approxim million $50 reason want put america simpl primari make
-1 |time hours_from_midnight:5 |meta hashtags:0 |tokens approx campaign win self million fund $50 termin loan total primari
-1 |time hours_from_midnight:5 |meta hashtags:0 |tokens @ deal campaign loan million dishonest accept $50 done refus forgiven fact
-1 |time hours_from_midnight:5 |meta link single_quote hashtags:0 |tokens sell hillari america wouldnt see public reason hid rich got one email
-1 |time hours_from_midnight:6 |meta link hashtags:0 |tokens hillari would crook graduat colleg want presid destroy
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens @ deal rather explain bad continu better reason want trade make renegoti
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens tremend thank make day massachusett main everyon special
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens enjoy @ 800 pm
-1 |time hours_from_midnight:6 |meta single_quote hashtags:0 |tokens explod hillari clinton never watch capabl isi done she noth
-1 |time hours_from_midnight:10 |meta link hashtags:0 |tokens join center cross bangor insur 4pme main today
-1 |time hours_from_midnight:10 |meta link hashtags:1 |tokens great america #trump2016 deal win make q go new poll whole
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens @ great thank watch john senat barrasso
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens pact @ advantag terribl harder worker us fight american other china take mani trade must
1 |time hours_from_midnight:2 |meta single_quote hashtags:0 |tokens mike sure would convent though media make job good im iron ask tyson everyth speak
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
-1 |time hours_from_midnight:5 |meta link hashtags:2 |tokens lie hillari #trump2016 watch 2nd crook video onlin #crookedhillari check
1 |time hours_from_midnight:5 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:5 |meta double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:5 |meta single_quote double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:5 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:5 |meta single_quote double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:5 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens @ dont neg anymor watch come
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens brexit light novemb media watch hillari wrong report stori call neg go unrel
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens wheel lie hillari goofi elizabeth product least one crook us heritag senat warren
1 |time hours_from_midnight:1 |meta single_quote double_quote double_quote_at hashtags:2 |tokens
1 |time hours_from_midnight:1 |meta link double_quote double_quote_at hashtags:1 |tokens deals" trump brilliant make trade donald " #dtmag presid new america
1 |time hours_from_midnight:0 |meta link single_quote double_quote double_quote_at hashtags:0 |tokens sigh" @ feel she fake teleprompt told
1 |time hours_from_midnight:1 |meta single_quote double_quote double_quote_at hashtags:1 |tokens
1 |time hours_from_midnight:1 |meta double_quote hashtags:0 |tokens even @ "dirty" disgrac democrat admit good done mani poll
-1 |time hours_from_midnight:2 |meta link hashtags:0 |tokens hillari donat foreign crook attack ignor govern
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens hillari said clinton bad win time question brexit judgement crook wrong leav sens got market
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens fortun hillari old statu agent littl close clinton chang poll spend quo
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens hillari old like peopl time job crook pol without want win countri line border chang
-1 |time hours_from_midnight:8 |meta link single_quote hashtags:0 |tokens hillari clinton trump top stake 50 crook address elect fact
1 |time hours_from_midnight:8 |meta hashtags:0 |tokens @ good would dishonest democrat heavi sampl poll
1 |time hours_from_midnight:8 |meta hashtags:0 |tokens lie hillari golf ad show support never play took crook hit major son = turnberri shot
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens tri brexit clinton ad big away dollar judgement wash bad call disgrac
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens son great land scotland budget stay job york night magnific new turnberri one eric came
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens end offic ice job bp presid block obama
-1 |time hours_from_midnight:2 |meta hashtags:1 |tokens love peopl support #americafirst admit want valu
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens vet suspend region proven link immigr terror place method must
-1 |time hours_from_midnight:8 |meta link hashtags:0 |tokens @ join thank yesterday us everyon came
-1 |time hours_from_midnight:9 |meta link hashtags:0 |tokens box @ daughter kai tee 13th grand
-1 |time hours_from_midnight:10 |meta link hashtags:0 |tokens @ arriv back tonight video york new
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens hillari deal incorrectli crook brexit one funni say call uk action talk
-1 |time hours_from_midnight:4 |meta hashtags:1 |tokens deal flood west virginia #imwithy thought devast prayer everyon
1 |time hours_from_midnight:2 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:2 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens brexit peopl great us back britain equat want countri go mani happen
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens excit brexit good trump success big scotland confer time news turnberri open today
-1 |time hours_from_midnight:7 |meta link hashtags:1 |tokens benghazi lie hillari #crookedhillari famili
1 |time hours_from_midnight:11 |meta double_quote hashtags:0 |tokens hillari made clinton trump obama" j donald us isi decis presid threaten along today
1 |time hours_from_midnight:11 |meta single_quote double_quote hashtags:0 |tokens endors clinton thank donald much conduct "disqualifying" rumsfeld appreci
1 |time hours_from_midnight:3 |meta double_quote double_quote_at hashtags:0 |tokens thank
1 |time hours_from_midnight:2 |meta link single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:2 |meta single_quote double_quote double_quote_at hashtags:0 |tokens thank
-1 |time hours_from_midnight:5 |meta link hashtags:1 |tokens #imwithy
1 |time hours_from_midnight:3 |meta double_quote double_quote_at hashtags:0 |tokens great lou
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens hillari belief tax job refus economi crook say rais disast beyond
1 |time hours_from_midnight:8 |meta double_quote hashtags:0 |tokens king great made fortun fix us bad debt"that debt countri businessman "the
-1 |time hours_from_midnight:8 |meta single_quote hashtags:0 |tokens wage hillari clinton less polici border make safe drive american immigr open everyon
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens employe said club peopl within orlando gun guard obvious talk addit
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens @ major champion reaction proud first pressur mani dustin true amaz
1 |time hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:1 |tokens
-1 |time hours_from_midnight:3 |meta link single_quote hashtags:0 |tokens @ room show yesterday empti prior speech fact fail fraudul pack
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens even room hour show knew dishonest empti ny speech time go total start pack
-1 |time hours_from_midnight:2 |meta link single_quote hashtags:1 |tokens trump donald game speech #trump2016 changer
-1 |time hours_from_midnight:1 |meta link hashtags:1 |tokens see arizona #trump2016 soon
-1 |time hours_from_midnight:1 |meta link hashtags:2 |tokens #americafirst #trump2016 arizona love thank
-1 |time hours_from_midnight:4 |meta link hashtags:2 |tokens great make safe #americafirst america #trump2016
-1 |time hours_from_midnight:5 |meta link hashtags:2 |tokens thank la #americafirst vega nevada #trump2016
1 |time hours_from_midnight:7 |meta hashtags:0 |tokens readi get vega speak la
-1 |time hours_from_midnight:7 |meta link hashtags:2 |tokens arizona join phoenix 4pm #americafirst #trump2016 today
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens #americafirst houston #trump2016 texa thank
-1 |time hours_from_midnight:1 |meta link hashtags:1 |tokens #americafirst thank
-1 |time hours_from_midnight:1 |meta link hashtags:0 |tokens amaz convent cleveland
-1 |time hours_from_midnight:3 |meta link hashtags:2 |tokens arizona join phoenix 4pm #americafirst #trump2016 tomorrow
-1 |time hours_from_midnight:7 |meta link hashtags:1 |tokens #americafirst thank
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens make america safe great
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens hillari safeti peopl orlando attack trade crook job follow deficit year biggest mani unhappi obama
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens great dalla last crowd texa state passion night ever spirit today amaz
1 |time hours_from_midnight:10 |meta double_quote double_quote_at hashtags:1 |tokens
-1 |time hours_from_midnight:2 |meta link hashtags:0 |tokens dalla texa thank
-1 |time hours_from_midnight:4 |meta link hashtags:0 |tokens houston tx phoenix la vega az nv
-1 |time hours_from_midnight:5 |meta link hashtags:0 |tokens houston join 7pm night ticket texa tomorrow
-1 |time hours_from_midnight:8 |meta link double_quote hashtags:0 |tokens changer" "donald game speech trump
-1 |time hours_from_midnight:8 |meta link hashtags:0 |tokens clinton 7yr polici rose support fast trade high job deficit horribl fix thank
1 |time hours_from_midnight:2 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens interview @ 700 pm
-1 |time hours_from_midnight:3 |meta link hashtags:0 |tokens post stori accur washington final
-1 |time hours_from_midnight:4 |meta link hashtags:1 |tokens georgia thank #americafirst soon back atlanta
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens endors terrorist peopl nra watch gun fli list buy allow meet
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens choic tough directli fair peopl messag bias take press total smart
1 |time hours_from_midnight:11 |meta link single_quote double_quote hashtags:0 |tokens @" right insinu media critic fell he "may donaldtrump
-1 |time hours_from_midnight:2 |meta link hashtags:1 |tokens north thank #americafirst back soon greensboro carolina
-1 |time hours_from_midnight:6 |meta link hashtags:0 |tokens georgia north wednesday tonight nevada saturday carolina
-1 |time hours_from_midnight:6 |meta link hashtags:0 |tokens @ 241st thank birthday happi
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens america first
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens extraordinari tough get peopl screen admit without american cannot vigil countri smart must
-1 |time hours_from_midnight:0 |meta link hashtags:1 |tokens join noon wednesday atlanta #trump2016 ticket
-1 |time hours_from_midnight:3 |meta link single_quote hashtags:0 |tokens contd hillari fund stop crook say call saudi arabia countri hate must
-1 |time hours_from_midnight:3 |meta link single_quote hashtags:0 |tokens contd clinton money foundat amount saudi countri arabia mani vast gave
-1 |time hours_from_midnight:3 |meta link hashtags:0 |tokens even right peopl celebr orlando thought cheer savag werent
-1 |time hours_from_midnight:3 |meta hashtags:0 |tokens protect suspend spoke nation terror temporari includ islam tie ban speech america immigr
-1 |time hours_from_midnight:4 |meta link hashtags:0 |tokens set trump campaign incred coverag record inaccur base report herebi
-1 |time hours_from_midnight:4 |meta link hashtags:0 |tokens show washington dishonest fan presid post phoni obama
-1 |time hours_from_midnight:6 |meta single_quote hashtags:0 |tokens case @ work dont fals pay bill bad articl say shoddi done sad
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens like beat mitt romney choke least dog person call presid fail racist chanc
-1 |time hours_from_midnight:4 |meta link hashtags:1 |tokens richmond #trump2016 thank virginia
-1 |time hours_from_midnight:3 |meta link hashtags:2 |tokens @ join thank #rtm2016 share discuss coalit valu #trump2016 honor today
-1 |time hours_from_midnight:4 |meta link hashtags:1 |tokens tonight head join virginia richmond ticket #trump2016
-1 |time hours_from_midnight:8 |meta link hashtags:1 |tokens hillari clinton describ puppet corpor crook video 2004 time donor chang #trump2016 pocahonta
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens faith head freedom visit dc coalit opo speak
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens box king great endors promot nice
-1 |time hours_from_midnight:11 |meta link hashtags:0 |tokens nh va portsmouth join 8pm pittsburgh 11am 230pm richmond pa 3pm 6/10 6/11 fl tampa 6/13
1 |time hours_from_midnight:12 |meta link double_quote double_quote_at hashtags:0 |tokens @" endors investig never someon presid
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens choic product goofi elizabeth nasti hope least one vp mouth us senat pocahonta warren
1 |time hours_from_midnight:2 |meta link single_quote double_quote double_quote_at hashtags:0 |tokens
-1 |time hours_from_midnight:2 |meta link hashtags:1 |tokens join pittsburgh richmond 6/10 6/11 #trump2016 tampa
-1 |time hours_from_midnight:5 |meta link hashtags:0 |tokens terrorist tel support regard messag aviv attack condol
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens healthcar hillari clinton militari gun economi crook job disast plu els trade obama
1 |time hours_from_midnight:12 |meta hashtags:0 |tokens like media dishonesti much expect big win primari amaz
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens great guy
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens sander hillari berni support play dislik realli crook way mani trade come must
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens thank
1 |time hours_from_midnight:0 |meta hashtags:0 |tokens hillari clinton oppon would 16 million except one crook vote mani fact
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens thank
1 |time hours_from_midnight:0 |meta double_quote double_quote_at hashtags:0 |tokens
-1 |time hours_from_midnight:4 |meta link hashtags:2 |tokens #trump2016 make america #americafirst great
1 |time hours_from_midnight:12 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:12 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:12 |meta double_quote double_quote_at hashtags:0 |tokens thank
1 |time hours_from_midnight:12 |meta double_quote double_quote_at hashtags:0 |tokens presid number time" one
1 |time hours_from_midnight:12 |meta double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:12 |meta single_quote hashtags:0 |tokens wont @ end gone anymor watch rate deep bad believ nobodi
1 |time hours_from_midnight:12 |meta single_quote double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens comment reciev great thank feel could thr air speech electr vote ever review wonder
1 |time hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:11 |meta link double_quote double_quote_at hashtags:0 |tokens
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens #trump2016 california thank
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens new #trump2016 thank mexico
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens dakota #trump2016 thank south
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens new #trump2016 thank jersey
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens enjoy @ tonight interview pm 1000
-1 |time hours_from_midnight:2 |meta link hashtags:1 |tokens #makeamericagreatagain thank togeth
1 |time hours_from_midnight:2 |meta single_quote hashtags:0 |tokens hillari byrn servic gari agent presid crook secret book believ tempera doesnt integr
1 |time hours_from_midnight:1 |meta hashtags:0 |tokens excori pre hillari clinton describ servic bad violent agent crook secret tempera presid errat former
-1 |time hours_from_midnight:10 |meta link hashtags:1 |tokens #dday june 1944 rememb 6 hero fallen
1 |time hours_from_midnight:11 |meta single_quote hashtags:0 |tokens blow that bad 38000 month issu job messag report new massiv realli obama
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens hillari total ad badli wall fraud paid crook critic street fals women politifact
1 |time hours_from_midnight:12 |meta hashtags:1 |tokens great finish like campaign less far money abl other countri #1 spend
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens @ like campaign peopl say much access zero without want media report knowledgetru
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens poor hillari clinton track destruct judgement record bad unfit leadership presid skill chang
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens @ lie show predict big garbag watch littl one late msm bias cnn
1 |time hours_from_midnight:3 |meta hashtags:0 |tokens @ clinton network get door indign sometim behind hear act close news biasedthey refer
1 |time hours_from_midnight:1 |meta double_quote double_quote_at hashtags:3 |tokens
-1 |time hours_from_midnight:3 |meta link hashtags:0 |tokens attorney thank gonzal feel peopl gener way mani
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens report job worst sinc 2010
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens jose protect san terribl peopl support innoc lucki mayor job remain thug order peac
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens jose trump polic support burn flag american illeg attack laugh thug mani peac san
1 |time hours_from_midnight:12 |meta link double_quote double_quote_at hashtags:2 |tokens
1 |time hours_from_midnight:12 |meta link double_quote double_quote_at hashtags:0 |tokens
1 |time hours_from_midnight:4 |meta hashtags:0 |tokens great champion ali dead muhammad 74 guy wonder miss truli
-1 |time hours_from_midnight:2 |meta link hashtags:2 |tokens #makeamericagreatagain california thank red #caprimari
-1 |time hours_from_midnight:8 |meta link single_quote double_quote hashtags:0 |tokens town "im trump" polic 100% proud behind chief im hispan border former
1 |time hours_from_midnight:7 |meta single_quote hashtags:0 |tokens hillari love would get readi misrepres foreign lyin crook call polici posit clinton total
1 |time hours_from_midnight:7 |meta hashtags:0 |tokens case pre trump exec dispos instruct litig much u interest open
1 |time hours_from_midnight:8 |meta hashtags:0 |tokens even case great trump though civil win thousand judg unfair bias u diego review san
1 |time hours_from_midnight:8 |meta single_quote hashtags:0 |tokens real hillari made clinton monster polici foreign crook mistak mani experi hrc mean
1 |time hours_from_midnight:8 |meta single_quote hashtags:0 |tokens loss 38 usa 450 win wow cover isnt record stori verdict want presid lawsuit today
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens @ represent give polici knew watch littl foreign p notic proper nobodi ever anyth
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens sander hillari right clinton berni qualifi judgement crook bad said presid suffer
1 |time hours_from_midnight:9 |meta hashtags:0 |tokens hillari talent natur make tempera bad crook zero decis abil presid clinton zilch
1 |time hours_from_midnight:5 |meta double_quote double_quote_at hashtags:3 |tokens
1 |time hours_from_midnight:5 |meta double_quote double_quote_at hashtags:0 |tokens thank
-1 |time hours_from_midnight:4 |meta link hashtags:1 |tokens #makeamericagreatagain sacramento california thank
-1 |time hours_from_midnight:0 |meta single_quote double_quote hashtags:0 |tokens week @ last terribl anoth never stori discredit today learn fail "reporter" wrote women
1 |time hours_from_midnight:2 |meta hashtags:0 |tokens hillari fraud clinton risk use illeg crook stupid mail put countri mani miss public e
-1 |time hours_from_midnight:4 |meta link hashtags:2 |tokens even jose join san #makeamericagreatagain 7pm california #trump2016 tomorrow
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens look anyth media make raised/gav bad bias belittl total veteran $5600000
-1 |time hours_from_midnight:1 |meta hashtags:0 |tokens great admonish get crook confer credit 179 press hillari day today
-1 |time hours_from_midnight:2 |meta hashtags:0 |tokens interview @ tonight enjoy 10pme
-1 |time hours_from_midnight:3 |meta link hashtags:1 |tokens even @ join sacramento 7pm california #trump2016 tomorrow
1 |time hours_from_midnight:8 |meta hashtags:0 |tokens great group money veteran happi job honor mani beyond raised/gav amaz
1 |time hours_from_midnight:8 |meta hashtags:0 |tokens finish group trump veteran confer wherein inform press got tower $5600000 raised/gav gave
1 |time hours_from_midnight:11 |meta hashtags:0 |tokens tremend great money raised/given watch bad noth public amount got veteran
1 |time hours_from_midnight:10 |meta hashtags:0 |tokens great good look number confer thing 1100 new mani happen poll news tower today trump
